Modele_DPE,Version_DPE,Methode_application_DPE,Etiquette_DPE,Etiquette_GES,Type_batiment,Hauteur_sous_plafond,Conso_5_usages_finale,Conso_5_usages_m2_finale,Conso_chauffage_finale,Conso_chauffage_depensier_finale,Conso_eclairage_finale,Conso_ECS_finale,Conso_ECS_depensier_finale,Conso_refroidissement_finale,Conso_refroidissement_depensier_finale,Conso_auxiliaires_finale,Conso_5_usages_primaire,Conso_5_usages_par_m2_primaire,Conso_chauffage_primaire,Conso_chauffage_depensier_primaire,Conso_eclairage_primaire,Conso_ECS_primaire,Conso_ECS_depensier_primaire,Conso_refroidissement_primaire,Conso_refroidissement_depensier_primaire,Conso_auxiliaires_primaire,Emission_GES_5_usages,Emission_GES_5_usages_par_m2,Emission_GES_chauffage,Emission_GES_chauffage_depensier,Emission_GES_eclairage,Emission_GES_ECS,Emission_GES_ECS_depensier,Emission_GES_refroidissement,Emission_GES_refroidissement_depensier,Emission_GES_auxiliaires,Cout_chauffage_energie_num1,Cout_ECS_energie_num1,Emission_GES_5_usages_energie_num1,Type_energie_num1,Cout_total_5_usages,Cout_chauffage,Cout_chauffage_depensier,Cout_eclairage,Cout_ECS_depensier,Cout_ECS,Cout_refroidissement,Cout_refroidissement_depensier,Cout_auxiliaires,Qualite_isolation_enveloppe,Qualite_isolation_menuiseries,Qualite_isolation_murs,Ubat_W_m2_K,Appartement_non_visite_0_1,Nombre_appartement,Nombre_niveau_immeuble,Nombre_niveau_logement,Surface_habitable_immeuble,Surface_habitable_logement,Score_BAN,Cout_chauffage_energie_num2,Cout_ECS_energie_num2,Type_energie_num2,Emission_GES_5_usages_energie_num2,Qualite_isolation_plancher_bas
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,B,B,appartement,2.5,3133.2,47.0,1568.8,1819.8,51.9,1380.0,1945.7,0.0,0.0,0.0,3372.9,50.6,1568.8,1819.8,119.4,1945.7,1380.0,0.0,0.0,0.0,681.9,10.2,356.1,413.1,3.6,441.7,313.3,0.0,0.0,0.0,226.2,199.0,0.0,Gaz_naturel,492.4,226.2,262.4,142.5,280.6,199.0,0.0,0.0,0.0,tres_bonne,tres_bonne,tres_bonne,0.39,FAUX,8.0,1.0,1.0,424.2,66.7,0.52,0.52,0.0,Electricite,3.6,tres_bonne
RT2012,1_1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,1719.5,20.2,1003.0,1163.5,176.3,419.0,590.8,0.0,0.0,55.1,3954.9,46.6,2306.9,2676.0,405.5,1358.8,963.7,0.0,0.0,126.7,126.4,1.5,79.2,91.9,12.2,38.4,27.2,0.0,0.0,3.5,228.0,95.0,19.9,Electricite,391.0,228.0,264.5,40.0,134.0,95.0,0.0,0.0,13.0,tres_bonne,tres_bonne,tres_bonne,0.35,FAUX,1.0,1.0,1.0,84.9,84.9,0.47,0.47,74.2,Electricite,219.6,tres_bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,4555.2,57.7,2406.7,2791.7,45.1,1941.3,2737.2,0.0,0.0,3.0,4824.8,61.1,2406.7,2791.7,103.7,2737.2,1941.3,0.0,0.0,6.9,1001.0,12.7,546.3,633.7,3.1,621.3,440.7,0.0,0.0,0.2,267.6,215.9,0.0,Gaz_naturel,543.7,267.6,310.5,155.5,304.4,215.9,0.0,0.0,10.4,bonne,tres_bonne,tres_bonne,0.57,FAUX,11.0,1.0,1.0,892.1,79.0,0.45,0.45,0.0,Electricite,3.3,tres_bonne
RT2012,2,dpe_etude_thermique_RT2012_batiment_appartement,B,B,appartement,2.5,2700.2,48.6,1284.0,1489.4,31.4,1279.2,1803.7,0.0,0.0,0.0,2878.3,51.8,1284.0,1489.4,72.2,1803.7,1279.2,0.0,0.0,0.0,591.2,10.6,291.5,338.1,2.2,409.4,290.4,0.0,0.0,0.0,142.8,142.3,0.0,Gaz_naturel,324.8,142.8,165.6,108.2,200.6,142.3,0.0,0.0,0.0,tres_bonne,tres_bonne,bonne,0.41,FAUX,16.0,1.0,1.0,896.6,55.6,0.76,0.76,0.0,Electricite,2.2,bonne
RE2020,1,dpe_maison_individuelle,D,D,maison,2.5,8691.5,147.0,6861.8,7959.7,181.0,1581.3,2229.6,0.0,0.0,67.5,9014.6,152.0,6861.8,6861.8,416.4,1581.3,1581.3,0.0,0.0,155.1,1933.4,32.0,1557.6,1557.6,12.5,358.9,358.9,0.0,0.0,4.3,805.3,185.6,1933.4,Electricite,1081.4,805.3,805.3,65.9,185.6,185.6,0.0,0.0,24.6,tres_bonne,tres_bonne,bonne,0.51,FAUX,34.53095264748685,1.0,1.0,1750.8,58.9,0.66,0.66,185.6,Gaz_naturel,1933.4,insuffisante
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,B,B,appartement,2.5,1903.2,39.5,0.0,0.0,31.0,1759.0,2480.2,0.0,0.0,7.2,2090.6,43.4,0.0,0.0,71.4,2480.2,1759.0,0.0,0.0,16.5,408.9,8.5,0.0,0.0,2.1,563.0,399.3,0.0,0.0,0.5,0.0,253.7,0.0,Gaz_naturel,306.2,0.0,0.0,85.2,357.7,253.7,0.0,0.0,19.7,bonne,tres_bonne,tres_bonne,0.63,FAUX,24.0,1.0,1.0,1481.7,48.2,0.68,0.68,0.0,Electricite,2.6,tres_bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,5947.3,63.3,3940.0,4570.5,57.9,1748.9,2466.0,0.0,0.0,3.4,6283.0,66.8,3940.0,4570.5,133.2,2466.0,1748.9,0.0,0.0,7.8,1308.9,13.9,894.4,1037.5,4.0,559.8,397.0,0.0,0.0,0.2,438.2,194.5,0.0,Gaz_naturel,707.6,438.2,508.3,199.6,274.2,194.5,0.0,0.0,11.7,moyenne,tres_bonne,moyenne,0.79,FAUX,37.0,1.0,1.0,2437.4,94.0,0.69,0.69,0.0,Electricite,4.2,bonne
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,B,A,appartement,2.5,5727.1,91.2,3760.5,4362.1,135.5,1758.9,2480.1,0.0,0.0,45.2,5997.1,95.5,3760.5,4362.1,311.5,2480.1,1758.9,0.0,0.0,103.8,367.2,5.8,240.7,279.2,9.3,158.7,112.6,0.0,0.0,2.9,296.0,138.4,0.0,Reseau_Chauffage_urbain,510.0,296.0,343.3,49.3,195.2,138.4,0.0,0.0,16.4,bonne,tres_bonne,tres_bonne,0.58,FAUX,17.0,1.0,1.0,991.6,62.8,0.57,0.57,0.0,Electricite,12.2,tres_bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,B,B,appartement,2.5,2928.3,45.3,1816.4,2107.0,124.3,927.0,1307.0,0.0,0.0,60.6,3176.4,49.1,1820.3,2111.6,285.9,930.7,1312.3,0.0,0.0,139.5,633.6,9.8,411.8,477.7,8.0,210.0,296.0,0.0,0.0,3.9,8198.6,4233.7,25376.7,Gaz_naturel,376.3,224.7,260.7,36.1,162.0,114.9,0.0,0.0,0.6,bonne,tres_bonne,tres_bonne,0.61,FAUX,38.0,1.0,1.0,1750.8,64.7,0.38,0.38,34.0,Electricite,472.2,bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,1846.6,20.3,1091.0,1265.6,183.6,464.0,654.2,0.0,0.0,32.4,4247.2,46.6,2509.3,2910.8,422.3,1504.8,1067.2,0.0,0.0,74.5,135.9,1.5,86.2,100.0,12.7,42.5,30.2,0.0,0.0,2.1,323.0,137.0,19.6,Electricite,546.0,323.0,374.7,54.0,193.2,137.0,0.0,0.0,10.0,tres_bonne,tres_bonne,tres_bonne,0.3,FAUX,1.0,1.0,1.0,91.2,91.2,0.46,0.46,74.2,Electricite,219.6,tres_bonne
RT2012,1_1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,2304.9,23.0,1164.0,1350.2,213.8,832.0,1173.1,0.0,0.0,11.9,5301.2,53.0,2677.2,3105.6,491.8,2698.2,1913.6,0.0,0.0,27.3,166.9,1.7,92.0,106.7,14.8,76.3,54.1,0.0,0.0,0.8,239.0,171.0,20.8,Electricite,473.0,239.0,277.2,44.0,241.1,171.0,0.0,0.0,2.0,tres_bonne,tres_bonne,tres_bonne,0.25,FAUX,1.0,1.0,1.0,100.0,100.0,0.96,0.96,74.2,Electricite,219.6,tres_bonne
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,B,B,appartement,2.5,3475.3,42.6,1694.0,1965.0,61.0,1561.3,2201.4,0.0,0.0,3.8,3761.2,46.1,1694.0,1965.0,140.4,2201.4,1561.3,0.0,0.0,8.8,753.9,9.2,384.5,446.1,4.2,499.7,354.4,0.0,0.0,0.2,244.3,225.2,0.0,Gaz_naturel,549.5,244.3,283.4,167.6,317.5,225.1,0.0,0.0,10.5,bonne,tres_bonne,bonne,0.54,FAUX,23.0,1.0,1.0,1267.2,81.5,0.79,0.79,0.0,Electricite,4.5,bonne
RT2012,1_1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,2667.5,27.8,1571.0,1822.4,203.4,814.0,1147.7,0.0,0.0,0.0,6135.3,64.0,3613.3,4191.4,467.8,2639.8,1872.2,0.0,0.0,0.0,196.1,2.0,124.1,144.0,14.0,74.6,52.9,0.0,0.0,0.0,310.0,161.0,19.1,Electricite,527.0,310.0,359.6,40.0,227.0,161.0,0.0,0.0,0.0,tres_bonne,tres_bonne,tres_bonne,0.26,FAUX,1.0,1.0,1.0,95.9,95.9,0.74,0.74,74.2,Electricite,219.6,tres_bonne
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,2623.5,60.8,770.0,893.2,84.3,1645.6,2320.3,0.0,0.0,0.0,2893.8,67.0,770.0,893.2,193.9,2320.3,1645.6,0.0,0.0,0.0,562.1,13.0,174.8,202.7,5.8,526.7,373.6,0.0,0.0,0.0,111.0,237.3,0.0,Gaz_naturel,424.1,111.0,128.8,30.7,334.6,237.3,0.0,0.0,0.0,bonne,tres_bonne,tres_bonne,0.52,FAUX,9.0,1.0,1.0,438.8,43.2,0.66,0.66,0.0,Electricite,5.8,bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,1647.1,17.7,836.0,969.8,172.1,553.0,779.7,0.0,0.0,0.0,3788.3,40.7,1922.8,2230.4,395.7,1793.4,1271.9,0.0,0.0,0.0,119.4,1.3,66.0,76.6,11.9,50.7,35.9,0.0,0.0,0.0,256.0,169.0,17.4,Electricite,504.0,256.0,297.0,53.0,238.3,169.0,0.0,0.0,0.0,tres_bonne,tres_bonne,tres_bonne,0.39,FAUX,1.0,1.0,1.0,93.2,93.2,0.55,0.55,74.2,Electricite,219.6,bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,1993.9,64.1,785.2,910.8,19.7,1132.4,1596.7,0.0,0.0,0.0,2093.1,67.3,785.2,910.8,45.3,1596.7,1132.4,0.0,0.0,0.0,440.5,14.2,178.2,206.8,1.4,362.5,257.1,0.0,0.0,0.0,50.4,72.8,0.0,Gaz_naturel,145.3,50.5,58.5,67.8,102.6,72.8,0.0,0.0,0.0,bonne,tres_bonne,bonne,0.65,FAUX,69.0,1.0,1.0,2841.7,31.1,0.8,0.8,0.0,Electricite,1.4,bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,2931.9,69.9,1523.5,1767.3,24.4,1297.9,1830.1,0.0,0.0,1.5,3138.0,74.8,1568.8,1819.8,56.2,1854.2,1315.0,0.0,0.0,3.5,640.7,15.3,340.7,395.2,1.7,412.4,292.5,0.0,0.0,0.1,165.6,142.9,0.0,Gaz_naturel,354.4,175.7,203.8,84.2,206.8,146.7,0.0,0.0,5.3,moyenne,tres_bonne,bonne,0.82,FAUX,52.0,1.0,1.0,3119.4,41.9,0.49,0.49,3.8,Electricite,1.8,bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,B,A,appartement,2.5,4542.0,98.5,1826.1,2118.3,84.1,2628.6,3706.3,0.0,0.0,3.2,4655.5,101.0,1826.1,2118.3,193.4,2628.6,3706.3,0.0,0.0,7.4,264.0,5.7,105.9,122.9,5.4,152.5,215.0,0.0,0.0,0.2,6456.5,5932.4,9130.3,Reseau_Chauffage_urbain,375.9,143.7,166.7,24.4,291.7,206.9,0.0,0.0,0.9,tres_bonne,tres_bonne,tres_bonne,0.26,VRAI,32.0,1.0,9.0,1750.8,46.1,0.28,0.28,0.0,Electricite,495.6,tres_bonne
RT2012,1,dpe_etude_thermique_RT2012_batiment_appartement,C,B,appartement,2.5,7247.9,107.7,2300.5,2668.6,99.0,4115.0,5802.2,0.0,0.0,43.3,8329.9,123.7,2300.5,2668.6,227.6,5802.2,4115.0,0.0,0.0,99.6,490.9,7.3,156.4,181.5,6.8,394.6,279.8,0.0,0.0,2.8,181.0,323.9,0.0,Reseau_Chauffage_urbain,808.0,181.1,210.0,271.8,456.6,323.9,0.0,0.0,118.9,bonne,tres_bonne,bonne,0.57,FAUX,98.0,1.0,1.0,5698.8,67.3,0.58,0.58,0.0,Electricite,9.6,tres_bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,A,A,appartement,2.5,1302.6,21.9,275.1,319.1,34.1,854.9,1205.4,0.0,0.0,0.0,2996.1,50.4,632.7,733.9,78.4,2772.3,1966.2,0.0,0.0,0.0,89.0,1.5,21.7,25.2,2.4,78.3,55.6,0.0,0.0,0.0,73.5,228.3,2.4,Electricite,347.9,73.5,85.2,127.6,321.9,228.3,0.0,0.0,0.0,moyenne,tres_bonne,bonne,0.76,FAUX,157.0,1.0,1.0,9387.0,59.4,0.55,0.55,74.2,Electricite,219.6,bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,B,B,appartement,2.5,3112.0,43.7,1381.9,1603.0,42.7,1513.6,2134.2,0.0,0.0,7.5,3514.8,49.3,1470.5,1705.7,98.2,2180.4,1546.4,0.0,0.0,17.3,657.7,9.2,303.6,352.2,2.9,478.7,339.5,0.0,0.0,0.5,146.1,165.5,0.0,Gaz_naturel,397.5,165.9,192.4,147.2,243.7,172.8,0.0,0.0,26.0,moyenne,tres_bonne,bonne,0.73,FAUX,85.0,1.0,1.0,4328.1,71.3,0.62,0.62,7.3,Electricite,3.4,bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,2828.2,68.3,1399.6,1623.6,24.8,1314.6,1853.6,0.0,0.0,1.7,3025.0,73.0,1448.4,1680.2,57.0,1853.6,1314.6,0.0,0.0,3.8,618.3,14.9,312.2,362.1,1.7,420.8,298.4,0.0,0.0,0.1,151.5,146.2,0.0,Gaz_naturel,341.6,162.4,188.3,85.4,206.1,146.2,0.0,0.0,5.7,bonne,tres_bonne,tres_bonne,0.48,FAUX,12.0,1.0,1.0,690.8,41.4,0.83,0.83,0.0,Electricite,1.8,tres_bonne
RE2020,1,dpe_appartement_genere_donnees_DPE_immeuble,A,A,appartement,2.5,1315.3,20.0,650.0,754.0,134.8,483.0,681.0,0.0,0.0,47.6,3025.3,48.0,1495.0,1495.0,309.9,1110.9,1110.9,0.0,0.0,109.4,95.1,1.0,51.4,51.4,9.3,31.4,31.4,0.0,0.0,3.0,236.7,175.9,95.1,Electricite,479.0,236.7,236.7,49.1,175.9,175.9,0.0,0.0,17.3,bonne,tres_bonne,tres_bonne,0.57,FAUX,31.0,1.0,1.0,1888.8,63.0,0.63,0.63,74.2,Electricite,219.6,bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,1250.5,25.3,671.0,778.4,92.4,444.0,626.0,0.0,0.0,0.0,2876.2,58.2,1543.3,1790.2,212.5,1439.9,1021.2,0.0,0.0,0.0,91.0,1.8,53.0,61.5,6.4,40.7,28.9,0.0,0.0,0.0,224.0,149.0,9.1,Electricite,418.0,224.0,259.8,31.0,210.1,149.0,0.0,0.0,0.0,tres_bonne,tres_bonne,tres_bonne,0.3,FAUX,1.0,1.0,1.0,49.4,49.4,0.4,0.4,74.2,Electricite,219.6,tres_bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,4316.1,36.4,3381.8,3922.9,225.0,701.7,989.4,0.0,0.0,7.6,6819.0,57.5,4670.1,5417.3,517.4,1613.9,2275.7,0.0,0.0,17.5,192.7,1.6,114.3,132.6,18.9,58.9,83.1,0.0,0.0,0.5,76.5,0.0,31.1,Bois_Buches,615.1,353.7,410.3,62.9,276.8,196.3,0.0,0.0,2.1,tres_bonne,tres_bonne,tres_bonne,0.25,FAUX,34.53095264748685,1.0,2.0,1750.8,118.6,0.89,0.89,196.3,Electricite,195.3,tres_bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,A,A,maison,2.5,3959.0,28.2,2787.0,3232.9,319.5,604.0,851.6,0.0,0.0,0.0,9105.7,64.9,6410.1,7435.7,734.9,1958.8,1389.2,0.0,0.0,0.0,297.4,2.1,220.2,255.4,22.0,55.4,39.3,0.0,0.0,0.0,674.0,146.0,38.0,Electricite,957.0,674.0,781.8,77.0,205.9,146.0,0.0,0.0,0.0,tres_bonne,tres_bonne,tres_bonne,0.31,FAUX,1.0,1.0,1.0,140.2,140.2,0.62,0.62,74.2,Electricite,219.6,tres_bonne
RE2020,1_1,dpe_appartement_genere_donnees_DPE_immeuble,C,C,appartement,2.5,3179.8,74.0,1814.1,2104.3,87.5,1254.9,1769.4,0.0,0.0,23.3,3357.9,78.0,1830.7,1830.7,201.3,1272.2,1272.2,0.0,0.0,53.7,700.1,16.0,409.9,409.9,6.0,282.7,282.7,0.0,0.0,1.5,204.0,141.9,700.1,Electricite,378.1,204.0,204.0,25.4,141.9,141.9,0.0,0.0,6.8,bonne,tres_bonne,tres_bonne,0.49,FAUX,13.0,1.0,1.0,697.4,42.6,0.64,0.64,141.9,Gaz_naturel,700.1,tres_bonne
RT2012,1_1,dpe_etude_thermique_RT2012_batiment_appartement,C,C,appartement,2.5,4102.9,64.3,2409.2,2794.7,35.6,1522.2,2146.2,0.0,0.0,2.4,4326.0,67.8,2409.2,2794.7,81.8,2146.2,1522.2,0.0,0.0,5.5,904.0,14.2,546.9,634.4,2.5,487.2,345.5,0.0,0.0,0.2,267.9,169.3,0.0,Gaz_naturel,487.0,267.9,310.8,122.6,238.7,169.3,0.0,0.0,8.2,bonne,tres_bonne,tres_bonne,0.49,FAUX,11.0,1.0,1.0,617.8,63.8,0.67,0.67,0.0,Electricite,2.6,tres_bonne
RE2020,1,dpe_appartement_genere_donnees_DPE_immeuble,C,C,appartement,2.5,1405.5,56.0,140.9,163.4,50.1,1195.7,1686.0,0.0,0.0,18.8,1683.6,67.0,324.0,324.0,115.2,1201.2,1201.2,0.0,0.0,43.2,286.5,11.0,11.1,11.1,3.5,270.8,270.8,0.0,0.0,1.2,40.9,133.7,286.5,Electricite,194.6,40.9,40.9,14.5,133.7,133.7,0.0,0.0,5.4,moyenne,tres_bonne,tres_bonne,0.75,VRAI,128.0,1.0,1.0,5028.7,24.9,0.76,0.76,133.7,Electricite,286.5,tres_bonne
RT2012,1,dpe_etude_thermique_reglementaire_RT2012_batiment_maison_individuelle,B,B,maison,2.5,3365.4,38.1,1445.8,1677.2,56.7,1656.1,2335.0,0.0,0.0,0.0,4130.2,46.7,1868.0,2166.9,130.4,2335.0,1656.1,0.0,0.0,0.0,673.7,7.6,280.1,325.0,3.9,530.1,375.9,0.0,0.0,0.0,161.7,238.8,0.0,Gaz_naturel,614.7,279.9,324.7,155.7,336.7,238.8,0.0,0.0,0.0,bonne,tres_bonne,tres_bonne,0.46,FAUX,1.0,1.0,1.0,371.5,88.4,0.64,0.64,0.0,Electricite,3.9,bonne
